cod_nat_tim;lib_tim;cod_commune;lib_commune;lib_bassin_risques;lib_commentaire;dat_programtim_deb;dat_programtim_fin;dat_etu_tim_deb;dat_etu_tim_fin;dat_transmission_tim;dat_integration_plu;dat_reception_min;dat_maj
79DDT20180006;TIM - Largeasse;79147;Largeasse;"";"";;;;;2018-03-19 00:00:00;;;2018-03-19 00:00:00
79DDT20180005;TIM - La Petite Boissière;79207;La Petite-Boissière;"";"";;;;;2018-03-19 00:00:00;;;2018-03-19 00:00:00
79DDT20180004;TIM - La-Foret-sur-Sevre;79123;La Forêt-sur-Sèvre;"";"";;;;;2018-03-19 00:00:00;;;2018-03-19 00:00:00
79DDT20180003;TIM - La Chapelle St-Etienne;79075;La Chapelle-Saint-Étienne;"";"";;;;;2018-03-19 00:00:00;;;2018-03-19 00:00:00
79DDT20180002;TIM - L-Absie;79001;L'Absie;"";"";;;;;2018-03-19 00:00:00;;;2018-03-19 00:00:00
79DDT20180001;TIM - Cerizay;79062;Cerizay;"";"";;;;;2018-03-19 00:00:00;;;2018-03-19 00:00:00
43PREF20170061;TIM CHAMPAGNAC LE VIEUX;43052;Champagnac-le-Vieux;"";"";;;;;2017-08-24 00:00:00;;;
43PREF20170060;TIM SAINT-ANDRE-DE-CHALENCON;43166;Saint-André-de-Chalencon;"";"";;;;;;2017-08-21 00:00:00;;
43PREF20170059;TIM JAVAUGUES;43105;Javaugues;"";"";;;;;2017-08-14 00:00:00;;;
43PREF20170058;TIM VISSAC-AUTEYRAC;43013;Vissac-Auteyrac;"";"";;;;;2017-08-08 00:00:00;;;
43PREF20170057;TIM VERNASSAL;43259;Vernassal;"";"";;;;;2017-07-31 00:00:00;;;
43PREF20170056;TIM SEMBADEL;43237;Sembadel;"";"";;;;;2017-07-25 00:00:00;;;
43PREF20170055;TIM SAINT-VICTOR-SUR-ARLANC;43228;Saint-Victor-sur-Arlanc;"";"";;;;;2017-08-10 00:00:00;;;
43PREF20170054;TIM SAINT-PAL-DE-SENOUIRE;43214;Saint-Pal-de-Senouire;"";"";;;;;2017-07-24 00:00:00;;;
43PREF20170053;TIM SAINT-JEAN-DE-NAY;43197;Saint-Jean-de-Nay;"";"";;;;;2017-07-25 00:00:00;;;
43PREF20170052;TIM SAINT-GEORGES-D'AURAC;43188;Saint-Georges-d'Aurac;"";"";;;;;2017-08-17 00:00:00;;;
43PREF20170051;TIM SAINTE-EUGENIE-DE-VILLENEUVE;43183;Sainte-Eugénie-de-Villeneuve;"";"";;;;;2017-07-24 00:00:00;;;2017-08-18 00:00:00
43PREF20170050;TIM SAINT-DIDIER-SUR-DOULON;43178;Saint-Didier-sur-Doulon;"";"";;;;;2017-07-25 00:00:00;;;
43PREF20170049;TIM QUEYRIERES;43158;Queyrières;"";"";;;;;2017-07-24 00:00:00;;;
43PREF20170048;TIM OUIDES;43145;Ouides;"";"";;;;;2017-07-25 00:00:00;;;
43PREF20170047;TIM SAINT-AUSTREMOINE;43169;Saint-Austremoine;"";"";;;;;2017-07-25 00:00:00;;;
43PREF20170046;TIM MONCLARD;43139;Montclard;"";"";;;;;2017-07-25 00:00:00;;;
43PREF20170045;TIM LE MAS DE TENCE;43129;Le Mas-de-Tence;"";"";;;;;2017-07-28 00:00:00;;;
43PREF20170044;TIM LISSAC;43122;Lissac;"";"";;;;;2017-07-27 00:00:00;;;
43PREF20170043;TIM LANDOS;43111;Landos;"";"";;;;;2017-07-24 00:00:00;;;
43PREF20170042;TIM JULLIANGES;43108;Jullianges;"";"";;;;;2017-08-08 00:00:00;;;
43PREF20170041;TIM GREZES;43104;Grèzes;"";"";;;;;2017-07-27 00:00:00;;;
43PREF20170040;TIM FIX SAINT GENEYS;43095;Fix-Saint-Geneys;"";"";;;;;2017-07-27 00:00:00;;;
43PREF20170039;TIM FERRUSAC;43094;Ferrussac;"";"";;;;;2017-07-31 00:00:00;;;
43PREF20170038;TIM FELINES;43093;Félines;"";"";;;;;2017-07-26 00:00:00;;;
43PREF20170037;TIM  CRONCES;43082;Cronce;"";"";;;;;2017-08-07 00:00:00;;;
43PREF20170036;TIM  COUTEUGES;43079;Couteuges;"";"";;;;;2017-07-25 00:00:00;;;
43PREF20170035;TIM  COLLAT;43075;Collat;"";"";;;;;2017-07-26 00:00:00;;;
43PREF20170034;TIM LA CHAPELLE BERTIN;43057;La Chapelle-Bertin;"";"";;;;;2017-07-27 00:00:00;;;
43PREF20170033;TIM BEAUMONT;43022;Beaumont;"";"";;;;;2017-07-24 00:00:00;;;
43PREF20170032;TIM ARLET;43009;Arlet;"";"";;;;;2017-08-01 00:00:00;;;
43PREF20170031;TIM MONCLARD;43139;Montclard;"";"";;;;;2017-07-25 00:00:00;;;2017-08-18 00:00:00
43PREF20170030;TIM JULLIANGES;43108;Jullianges;"";"";;;;;2017-08-08 00:00:00;;;2017-08-17 00:00:00
43PREF20170029;TIM ARLET;43009;Arlet;"";"";;;;;2017-08-01 00:00:00;;;
43PREF20170005;TIM VALS PRES LE PUY;43251;Vals-près-le-Puy;"";"";;;;;2017-07-03 00:00:00;;;
43PREF20160025;TIM Saint Vincent;43230;Saint-Vincent;"";"";;;;;2016-12-15 00:00:00;;;
79DDT20170033;TIM - Villiers-sur-chize;79352;Villiers-sur-Chizé;"";"";;;;;2017-04-11 00:00:00;;;2017-04-12 00:00:00
79DDT20170032;TIM - Villefollet;79348;Villefollet;"";"";;;;;2017-04-11 00:00:00;;;2017-04-12 00:00:00
79DDT20170031;TIM - Vernoux-sur-boutonne;79343;Vernoux-sur-Boutonne;"";"";;;;;2017-04-11 00:00:00;;;2017-04-12 00:00:00
79DDT20170030;TIM - Tillou;79330;Tillou;"";"";;;;;2017-04-11 00:00:00;;;2017-04-12 00:00:00
79DDT20170029;TIM - Séligné;79312;Séligné;"";"";;;;;2017-04-11 00:00:00;;;2017-04-12 00:00:00
79DDT20170028;TIM - Secondigne sur belle;79310;Secondigné-sur-Belle;"";"";;;;;2017-04-11 00:00:00;;;2017-04-12 00:00:00
79DDT20170027;TIM - Saint romans les melle;79295;Saint-Romans-lès-Melle;"";"";;;;;2017-04-11 00:00:00;;;2017-04-12 00:00:00
79DDT20170026;TIM - Saint martin les melle;79279;Saint-Martin-lès-Melle;"";"";;;;;2017-04-11 00:00:00;;;2017-04-12 00:00:00
79DDT20170025;TIM - Saint-génard;79251;Saint-Génard;"";"";;;;;2017-04-11 00:00:00;;;2017-04-12 00:00:00
79DDT20170024;TIM - Périgné;79204;Périgné;"";"";;;;;2017-04-11 00:00:00;;;2017-04-12 00:00:00
79DDT20170023;TIM - Paizay le chapt;79198;Paizay-le-Chapt;"";"";;;;;2017-04-11 00:00:00;;;2017-04-12 00:00:00
79DDT20170022;TIM - Paizay le tort;79199;Paizay-le-Tort;"";"";;;;;2017-04-11 00:00:00;;;2017-04-12 00:00:00
79DDT20170021;TIM - Mazieres sur beronne;79173;Mazières-sur-Béronne;"";"";;;;;2017-04-11 00:00:00;;;2017-04-12 00:00:00
79DDT20170020;TIM - Lusseray;79160;Lusseray;"";"";;;;;2017-04-11 00:00:00;;;2017-04-12 00:00:00
79DDT20170019;TIM - Luche sur brioux;79158;Luché-sur-Brioux;"";"";;;;;2017-04-11 00:00:00;;;2017-04-12 00:00:00
79DDT20170018;TIM - Le vert;79346;Le Vert;"";"";;;;;2017-04-11 00:00:00;;;2017-04-12 00:00:00
79DDT20170017;TIM - Juille;79142;Juillé;"";"";;;;;2017-04-11 00:00:00;;;2017-04-12 00:00:00
79DDT20170016;TIM - Fontenille st martin d'ent;79122;Fontenille-Saint-Martin-d'Entraigues;"";"";;;;;2017-04-11 00:00:00;;;2017-04-12 00:00:00
79DDT20170015;TIM - Ensigné;79111;Ensigné;"";"";;;;;2017-04-11 00:00:00;;;2017-04-12 00:00:00
79DDT20170014;TIM - Chizé;79090;Chizé;"";"";;;;;2017-04-11 00:00:00;;;2017-04-12 00:00:00
79DDT20170013;TIM - Chérigné;79085;Chérigné;"";"";;;;;2017-04-11 00:00:00;;;2017-04-12 00:00:00
79DDT20170012;TIM - Chef-boutonne;79083;Chef-Boutonne;"";"";;;;;2017-04-11 00:00:00;;;2017-04-12 00:00:00
79DDT20170011;TIM - Celles-sur-belle;79061;Celles-sur-Belle;"";"";;;;;2017-04-11 00:00:00;;;2017-04-12 00:00:00
79DDT20170010;TIM - Brioux-sur-boutonne;79057;Brioux-sur-Boutonne;"";"";;;;;2017-04-11 00:00:00;;;2017-04-12 00:00:00
79DDT20170009;TIM - Brieuil-sur-chizé;79055;Brieuil-sur-Chizé;"";"";;;;;2017-04-11 00:00:00;;;2017-04-12 00:00:00
79DDT20170008;TIM - asnières en poitou;79015;Asnières-en-Poitou;"";"";;;;;2017-04-11 00:00:00;;;2017-04-12 00:00:00
79DDT20170007;TIM - Pouffonds;79214;Pouffonds;"";"";;;;;2016-06-10 00:00:00;;;
79DDT20170006;TIM - Melle;79174;Melle;"";"";;;;;2016-06-10 00:00:00;;;
79DDT20170005;TIM - St Léger de la Martinière;79264;Saint-Léger-de-la-Martinière;"";"";;;;;2016-06-10 00:00:00;;;
79DDT20170004;TIM - La Ferrière en Parthenay;79120;La Ferrière-en-Parthenay;"";"";;;;;2016-06-10 00:00:00;;;
79DDT20170003;TIM - Thénezay;79326;Thénezay;"";"";;;;;2016-06-10 00:00:00;;;
79DDT20170002;TIM - Amailloux;79008;Amailloux;"";"";;;;;2016-06-10 00:00:00;;;
79DDT20170001;TIM - Maisontiers;79165;Maisontiers;"";"";;;;;2016-06-10 00:00:00;;;
43PREF20170002;TIM BAS-EN-BASSET;43020;Bas-en-Basset;"";"";;;;;2017-01-26 00:00:00;;;
43PREF20170001;TIM BRIVES-CHARENSAC;43041;Brives-Charensac;"";"";;;;;2017-01-03 00:00:00;;;
43PREF20160024;TIM SAINT-GERMAIN-LAPRADE;43190;Saint-Germain-Laprade;"";"";;;;;2016-12-20 00:00:00;;;
43PREF20160012;TIM Auzon;43016;Auzon;"";"";;;;;2016-11-15 00:00:00;;;
43PREF20160011;TIM BEAUX;43024;Beaux;"";"";;;;;2016-10-10 00:00:00;;;
43PREF20160009;TIM Saint-Jeures;43199;Saint-Jeures;"";"";;;;;2016-03-01 00:00:00;;;
79DDT20160026;TIM - Exoudun;79115;Exoudun;"";"";;;;;2016-02-01 00:00:00;;;2016-06-28 00:00:00
79DDT20160025;TIM - La Mothe Saint-Héray;79184;La Mothe-Saint-Héray;"";"";;;;;2016-02-01 00:00:00;;;
79DDT20160024;TIM - Souvigne;79319;Souvigné;"";"";;;;;2016-02-01 00:00:00;;;
79DDT20160023;TIM - Sainte-Eanne;79246;Sainte-Eanne;"";"";;;;;2016-02-01 00:00:00;;;
79DDT20160022;TIM - St-Martin de St-Maixent;79276;Saint-Martin-de-Saint-Maixent;"";"";;;;;2016-02-01 00:00:00;;;
79DDT20160021;TIM - Nanteuil;79189;Nanteuil;"";"";;;;;2016-02-01 00:00:00;;;
79DDT20160020;TIM - St-Maixent L Ecole;79270;Saint-Maixent-l'École;"";"";;;;;2016-02-01 00:00:00;;;2016-06-28 00:00:00
79DDT20160019;TIM - Exireuil;79114;Exireuil;"";"";;;;;2016-02-01 00:00:00;;;
79DDT20160018;TIM - St-georges-de-Noisne;79253;Saint-Georges-de-Noisné;"";"";;;;;2016-02-01 00:00:00;;;
79DDT20160017;TIM - Saivres;79302;Saivres;"";"";;;;;2016-02-01 00:00:00;;;
79DDT20160016;TIM - Azay-le-brûlé;79024;Azay-le-Brûlé;"";"";;;;;2016-02-01 00:00:00;;;
79DDT20160015;TIM - Sainte-Neomaye;79283;Sainte-Néomaye;"";"";;;;;2016-02-01 00:00:00;;;
79DDT20160014;TIM - La Crèche;79048;La Crèche;"";"";;;;;2016-02-01 00:00:00;;;
79DDT20160013;TIM - François;79128;François;"";"";;;;;2016-02-01 00:00:00;;;
79DDT20160012;TIM - Chauray;79081;Chauray;"";"";;;;;2016-02-01 00:00:00;;;
79DDT20160011;TIM - Saint-Gelais;79249;Saint-Gelais;"";"";;;;;2016-02-01 00:00:00;;;
79DDT20160010;TIM - Echire;79109;Échiré;"";"";;;;;2016-02-01 00:00:00;;;
79DDT20160009;TIM - Saint-Maxire;79281;Saint-Maxire;"";"";;;;;2016-02-01 00:00:00;;;
79DDT20160008;TIM - Sciecq;79308;Sciecq;"";"";;;;;2016-02-01 00:00:00;;;
79DDT20160007;TIM - Saint-Symphorien;79298;Saint-Symphorien;"";"";;;;;2016-02-01 00:00:00;;;
79DDT20160006;TIM - Bessines;79034;Bessines;"";"";;;;;2016-02-01 00:00:00;;;2016-06-28 00:00:00
79DDT20160005;TIM - Magné;79162;Magné;"";"";;;;;2016-02-01 00:00:00;;;
79DDT20160004;TIM - Coulon;79100;Coulon;"";"";;;;;2016-02-01 00:00:00;;;
79DDT20160003;TIM - Sansais;79304;Sansais;"";"";;;;;2016-02-01 00:00:00;;;
79DDT20160002;TIM - Le Vanneau;79337;Le Vanneau-Irleau;"";"";;;;;2016-02-01 00:00:00;;;2016-06-28 00:00:00
79DDT20160001;TIM - Arçais;79010;Arçais;"";"";;;;;2016-02-01 00:00:00;;;
43PREF20160008;TIM Espaly-Saint-Marcel;43089;Espaly-Saint-Marcel;"";"";;;;;2016-04-14 00:00:00;;;
43PREF20160007;Saint-Ferréol d'Auroure;43184;Saint-Ferréol-d'Auroure;"";"";;;;;2016-03-24 00:00:00;;;
43PREF20160006;TIM commune de Langeac;43112;Langeac;"";"";;;;;2016-02-25 00:00:00;;;2016-03-21 00:00:00
43PREF20160005;TIM Craponne sur Arzon;43080;Craponne-sur-Arzon;"";"";;;;;2016-01-20 00:00:00;;;2016-03-21 00:00:00
43PREF20160004;TIM Chambon sur Lignon;43051;Le Chambon-sur-Lignon;"";"";;;;;2016-01-20 00:00:00;;;2016-03-21 00:00:00
43PREF20160003;TIM Saint PIerre Duchamp;43217;Saint-Pierre-du-Champ;"";"";;;;;2016-01-19 00:00:00;;;2016-03-21 00:00:00
43PREF20160002;TIM commune de Chomelix;43071;Chomelix;"";"";;;;;2016-01-19 00:00:00;;;2016-03-21 00:00:00
88DDT20160023;TIM;88220;Grignoncourt;"";"";;;;;2015-07-22 00:00:00;;;
88DDT20160022;TIM;88272;Lironcourt;"";"";;;;;2015-07-22 00:00:00;;;
88DDT20160021;TIM;88471;Les Thons;"";"";;;;;2015-07-22 00:00:00;;;
88DDT20160020;TIM;88171;Fignévelle;"";"";;;;;2015-07-22 00:00:00;;;
88DDT20160019;TIM;88208;Godoncourt;"";"";;;;;2015-07-22 00:00:00;;;
88DDT20160018;TIM;88421;Saint-Julien;"";"";;;;;2015-07-22 00:00:00;;;
88DDT20160017;TIM;88310;Monthureux-sur-Saône;"";"";;;;;2015-07-22 00:00:00;;;
88DDT20160016;TIM;88105;Claudon;"";"";;;;;2015-07-22 00:00:00;;;
88DDT20160015;TIM;88016;Attigny;"";"";;;;;2015-07-22 00:00:00;;;
88DDT20160014;TIM;88124;Darney;"";"";;;;;2017-09-11 00:00:00;;;2018-03-26 00:00:00
88DDT20160013;TIM;88065;Bonvillet;"";"";;;;;2015-07-21 00:00:00;;;
88DDT20160012;TIM;88052;Belrupt;"";"";;;;;2015-07-21 00:00:00;;;
88DDT20160011;TIM;88486;Vagney;"";"";;;;;2015-07-21 00:00:00;;;
88DDT20160010;TIM;88467;Thiéfosse;"";"";;;;;2015-07-21 00:00:00;;;
88DDT20160009;TIM;88447;Saulxures-sur-Moselotte;"";"";;;;;2015-07-21 00:00:00;;;2016-01-26 00:00:00
88DDT20160008;TIM;88462;Le Syndicat;"";"";;;;;2015-07-21 00:00:00;;;2016-01-26 00:00:00
88DDT20160007;TIM;88409;Saint-Amé;"";"";;;;;2015-07-21 00:00:00;;;2016-01-26 00:00:00
88DDT20160006;TIM;88037;Basse-sur-le-Rupt;"";"";;;;;2015-07-21 00:00:00;;;2016-01-26 00:00:00
88DDT20160005;TIM;88116;Cornimont;"";"";;;;;2015-07-21 00:00:00;;;2016-01-26 00:00:00
88DDT20160004;TIM;88075;La Bresse;"";"";;;;;2015-11-03 00:00:00;;;2016-01-26 00:00:00
85DDTM20150134;PAC - Xanton-Chassenon;85306;Xanton-Chassenon;"";"";;;;;2009-04-01 00:00:00;;;
85DDTM20150133;TIM - Vouvant;85305;Vouvant;"";"";;;;;2012-03-01 00:00:00;;;
85DDTM20150132;TIM - Vix;85303;Vix;"";"";;;;;2013-07-01 00:00:00;;;
85DDTM20150131;PAC - La Verrie;85302;La Verrie;"";"";;;;;2009-02-01 00:00:00;;;
85DDTM20150130;PAC - Velluire;85299;Velluire;"";"";;;;;2010-08-01 00:00:00;;;
85DDTM20150129;TIM - Triaize;85297;Triaize;"";"";;;;;2012-07-01 00:00:00;;;
85DDTM20150128;PAC - Treize-Vents;85296;Treize-Vents;"";"";;;;;2011-01-01 00:00:00;;;
85DDTM20150127;PAC - La Tranche-sur-mer;85294;La Tranche-sur-Mer;"";"";;;;;2010-07-01 00:00:00;;;
85DDTM20150126;PAC - Tiffauges;85293;Tiffauges;"";"";;;;;2008-09-01 00:00:00;;;
85DDTM20150125;PAC - Tallud-Sainte Gemme;85287;Tallud-Sainte-Gemme;"";"";;;;;2009-10-01 00:00:00;;;
85DDTM20150124;PAC - Sigournais;85282;Sigournais;"";"";;;;;2009-04-01 00:00:00;;;
85DDTM20150123;TIM - Saint Vincent-sur-Jard;85278;Saint-Vincent-sur-Jard;"";"";;;;;2012-06-01 00:00:00;;;
85DDTM20150122;PAC - Saint Vincent-sur-Graon;85277;Saint-Vincent-sur-Graon;"";"";;;;;2010-12-01 00:00:00;;;
85DDTM20150121;PAC - Saint Vincent-Sterlange;85276;Saint-Vincent-Sterlanges;"";"";;;;;2011-02-01 00:00:00;;;2015-12-11 00:00:00
85DDTM20150120;PAC - Saint Révérend;85268;Saint-Révérend;"";"";;;;;2010-06-01 00:00:00;;;
85DDTM20150119;TIM - Sainte Radégonde-des-N.;85267;Sainte-Radégonde-des-Noyers;"";"";;;;;2012-05-01 00:00:00;;;
85DDTM20150118;PAC - Saint Prouand;85266;Saint-Prouant;"";"";;;;;2009-06-01 00:00:00;;;
85DDTM20150117;PAC - Saint Pierre-du-Chemin;85264;Saint-Pierre-du-Chemin;"";"";;;;;2010-11-01 00:00:00;;;
85DDTM20150116;PAC - Sainte Pexine;85261;Sainte-Pexine;"";"";;;;;2009-04-01 00:00:00;;;
85DDTM20150115;PAC - Saint Paul-en-Pareds;85259;Saint-Paul-en-Pareds;"";"";;;;;2011-01-01 00:00:00;;;
85DDTM20150114;PAC - Saint Michel-le-Cloucq;85256;Saint-Michel-le-Cloucq;"";"";;;;;2008-12-01 00:00:00;;;
85DDTM20150113;PAC - Saint Mesmin;85254;Saint-Mesmin;"";"";;;;;2009-01-01 00:00:00;;;
85DDTM20150112;TIM - Saint Maurice-des-Noues;85251;Saint-Maurice-des-Noues;"";"";;;;;2012-10-01 00:00:00;;;
85DDTM20150111;TIM - Saint Martin-de-Fraigneau;85244;Saint-Martin-de-Fraigneau;"";"";;;;;;;;
85DDTM20150110;PAC - Saint Mars-la-Réorthe;85242;Saint-Mars-la-Réorthe;"";"";;;;;2011-01-01 00:00:00;;;
85DDTM20150109;PAC - Saint Malô-du-Bois;85240;Saint-Malô-du-Bois;"";"";;;;;2009-02-01 00:00:00;;;
85DDTM20150108;PAC - Saint Laurent-sur-Sèvre;85238;Saint-Laurent-sur-Sèvre;"";"";;;;;2008-09-01 00:00:00;;;2015-12-11 00:00:00
85DDTM20150107;TIM - Saint Jean-de-Monts;85234;Saint-Jean-de-Monts;"";"";;;;;2012-04-01 00:00:00;;;
85DDTM20150106;PAC - Saint Hilaire-le-Vouhis;85232;Saint-Hilaire-le-Vouhis;"";"";;;;;2011-01-01 00:00:00;;;
85DDTM20150105;PAC - Saint Hilaire-de-Voust;85229;Saint-Hilaire-de-Voust;"";"";;;;;2009-02-01 00:00:00;;;
85DDTM20150104;PAC - Saint Hilaire-des-Loges;85227;Saint-Hilaire-des-Loges;"";"";;;;;2009-04-01 00:00:00;;;
85DDTM20150103;PAC - Saint Hilaire-de-Riez;85226;Saint-Hilaire-de-Riez;"";"";;;;;2010-08-01 00:00:00;;;2015-12-11 00:00:00
85DDTM20150102;TIM - Saint Hilaire-de-Loulay;85224;Saint-Hilaire-de-Loulay;"";"";;;;;;;;
85DDTM20150101;PAC - Sainte Hermine;85223;Sainte-Hermine;"";"";;;;;2009-04-01 00:00:00;;;
85DDTM20150100;TIM - Saint Gilles-Croix-de-Vie;85222;Saint-Gilles-Croix-de-Vie;"";"";;;;;2012-03-01 00:00:00;;;
85DDTM20150099;PAC - Saint Germain-de-Prinçay;85220;Saint-Germain-de-Prinçay;"";"";;;;;2009-06-01 00:00:00;;;
85DDTM20150098;TIM - Saint Germain-l'Aiguiller;85219;Saint-Germain-l'Aiguiller;"";"";;;;;2012-01-01 00:00:00;;;
85DDTM20150097;TIM - Saint Georges-de-Montaigu;85217;Saint-Georges-de-Montaigu;"";"";;;;;;;;
85DDTM20150096;TIM - Saint Etienne-du-Bois;85210;Saint-Étienne-du-Bois;"";"";;;;;;;;
85DDTM20150095;TIM - Saint Denis-du-Payré;85207;Saint-Denis-du-Payré;"";"";;;;;2012-09-01 00:00:00;;;
85DDTM20150094;TIM - Saint Cyr-en-Talmondais;85206;Saint-Cyr-en-Talmondais;"";"";;;;;2012-11-01 00:00:00;;;
85DDTM20150093;PAC - Saint Christophe-du-L.;85204;Saint-Christophe-du-Ligneron;"";"";;;;;2009-05-01 00:00:00;;;
85DDTM20150092;PAC - Sainte Cécile;85202;Sainte-Cécile;"";"";;;;;2009-04-01 00:00:00;;;
85DDTM20150091;TIM - Saint Avaugourd-des-Landes;85200;Saint-Avaugourd-des-Landes;"";"";;;;;2013-05-01 00:00:00;;;
85DDTM20150090;TIM - Saint Benoist-sur-mer;85201;Saint-Benoist-sur-Mer;"";"";;;;;2012-09-01 00:00:00;;;
85DDTM20150089;PAC - Saint Aubin-des-Ormeaux;85198;Saint-Aubin-des-Ormeaux;"";"";;;;;2009-02-01 00:00:00;;;
85DDTM20150088;TIM - Rosnay;85193;Rosnay;"";"";;;;;2012-12-01 00:00:00;;;
85DDTM20150087;PAC - Rochetrejoux;85192;Rochetrejoux;"";"";;;;;2008-11-01 00:00:00;;;
85DDTM20150086;PAC - La Réorthe;85188;La Réorthe;"";"";;;;;2009-04-01 00:00:00;;;
85DDTM20150085;PAC - Réaumur;85187;Réaumur;"";"";;;;;2009-04-01 00:00:00;;;
85DDTM20150084;TIM - La Rabatelière;85186;La Rabatelière;"";"";;;;;;;;
85DDTM20150083;TIM - Puyravault;85185;Puyravault;"";"";;;;;2012-09-01 00:00:00;;;
85DDTM20150082;PAC - Puy-de-Serre;85184;Puy-de-Serre;"";"";;;;;2009-04-01 00:00:00;;;
85DDTM20150081;PAC - Pouzauges;85182;Pouzauges;"";"";;;;;2008-11-01 00:00:00;;;
85DDTM20150080;PAC - La Pommeraie-sur-Sèvre;85180;La Pommeraie-sur-Sèvre;"";"";;;;;2009-02-01 00:00:00;;;
85DDTM20150079;TIM - Poiroux;85179;Poiroux;"";"";;;;;2012-03-01 00:00:00;;;
85DDTM20150078;PAC - Le Poiré-sur-Velluire;85177;Le Poiré-sur-Velluire;"";"";;;;;2010-12-01 00:00:00;;;2015-12-11 00:00:00
85DDTM20150077;PAC - Pissotte;85176;Pissotte;"";"";;;;;2008-11-01 00:00:00;;;
85DDTM20150076;PAC - Péault;85171;Péault;"";"";;;;;2008-11-01 00:00:00;;;
85DDTM20150075;PAC - L'Orbrie;85167;L'Orbrie;"";"";;;;;2008-11-01 00:00:00;;;
85DDTM20150074;PAC - Olonne-sur-mer;85166;Olonne-sur-Mer;"";"";;;;;2011-07-01 00:00:00;;;
85DDTM20150073;PAC - L'Oie;85165;L'Oie;"";"";;;;;2009-10-01 00:00:00;;;
85DDTM20150072;PAC - Notre Dame-de-Riez;85189;Notre-Dame-de-Riez;"";"";;;;;2011-12-01 00:00:00;;;
85DDTM20150071;TIM - Notre Dame-de-Monts;85164;Notre-Dame-de-Monts;"";"";;;;;2012-09-01 00:00:00;;;
85DDTM20150070;TIM - Noirmoutier-en-l'île;85163;Noirmoutier-en-l'Île;"";"";;;;;;;;
85DDTM20150069;PAC - Nesmy;85160;Nesmy;"";"";;;;;2011-12-01 00:00:00;;;
85DDTM20150068;TIM - Mouzeuil-Saint Martin;85158;Mouzeuil-Saint-Martin;"";"";;;;;;;;
85DDTM20150067;TIM - Moutiers-les-Mauxfaits;85156;Moutiers-les-Mauxfaits;"";"";;;;;2013-02-01 00:00:00;;;
85DDTM20150066;PAC - Mouchamps;85153;Mouchamps;"";"";;;;;2009-06-01 00:00:00;;;
85DDTM20150065;TIM - Mormaison;85150;Mormaison;"";"";;;;;;;;
85DDTM20150064;TIM - Moreilles;85149;Moreilles;"";"";;;;;2013-02-01 00:00:00;;;
85DDTM20150063;TIM - Montreuil;85148;Montreuil;"";"";;;;;2013-07-01 00:00:00;;;
85DDTM20150062;TIM - Montournais;85147;Montournais;"";"";;;;;;;;
85DDTM20150061;PAC - Monsireigne;85145;Monsireigne;"";"";;;;;2009-06-01 00:00:00;;;2015-12-04 00:00:00
85DDTM20150060;PAC - Mervent;85143;Mervent;"";"";;;;;2008-11-01 00:00:00;;;
